,BP_EST:PM10,BP_EST:PM25,BP_EST:NO2,BP_EST:NO,BP_EST:NOX
,Boulevard Périphérique Est,Boulevard Périphérique Est,Boulevard Périphérique Est,Boulevard Périphérique Est,Boulevard Périphérique Est
,BP_EST,BP_EST,BP_EST,BP_EST,BP_EST
,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote
,PM10,PM25,NO2,NO,NOX
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2025-01-01 01:00:00Z,35.3,12.0,21.6,22.0,55.3
2025-01-01 02:00:00Z,13.7,10.4,21.9,23.7,58.2
2025-01-01 03:00:00Z,8.5,7.5,22.8,26.6,63.3
2025-01-01 04:00:00Z,9.1,4.5,24.4,27.9,67.3
2025-01-01 05:00:00Z,13.5,10.4,27.0,30.8,74.5
2025-01-01 06:00:00Z,13.6,8.4,27.5,30.7,74.5
2025-01-01 07:00:00Z,10.2,10.6,22.5,22.0,56.3
2025-01-01 08:00:00Z,9.9,10.9,15.2,13.5,35.9
2025-01-01 09:00:00Z,10.7,11.9,18.7,16.5,44.0
2025-01-01 10:00:00Z,12.1,6.9,21.7,21.7,54.8
2025-01-01 11:00:00Z,14.4,6.3,14.0,13.4,34.5
2025-01-01 12:00:00Z,11.4,7.4,16.9,17.1,42.8
2025-01-01 13:00:00Z,8.8,6.1,15.4,12.8,35.1
2025-01-01 14:00:00Z,11.4,4.0,18.1,16.0,42.8
2025-01-01 15:00:00Z,14.3,6.4,17.7,15.5,41.6
2025-01-01 16:00:00Z,14.7,9.6,20.5,20.4,52.1
2025-01-01 17:00:00Z,14.9,6.8,19.2,19.4,49.1
2025-01-01 18:00:00Z,16.5,8.9,18.0,15.3,41.5
2025-01-01 19:00:00Z,13.5,6.2,17.1,15.9,41.3
2025-01-01 20:00:00Z,10.7,6.2,18.5,17.9,46.1
2025-01-01 21:00:00Z,14.0,7.9,14.5,14.3,36.6
2025-01-01 22:00:00Z,9.5,9.1,11.6,7.5,23.0
2025-01-01 23:00:00Z,13.0,6.0,11.6,8.3,24.2
2025-01-02 00:00:00Z,19.1,6.6,8.2,5.7,16.8
2025-01-02 01:00:00Z,9.5,6.2,7.9,4.7,14.9
2025-01-02 02:00:00Z,9.0,6.3,6.3,0.7,7.1
2025-01-02 03:00:00Z,4.0,4.2,12.1,0.8,12.3
2025-01-02 04:00:00Z,2.8,3.4,26.2,7.1,36.8
2025-01-02 05:00:00Z,6.5,3.8,47.3,24.2,84.5
2025-01-02 06:00:00Z,5.8,6.2,54.5,41.4,118.1
2025-01-02 07:00:00Z,3.7,4.4,28.8,10.0,44.0
2025-01-02 08:00:00Z,4.6,5.1,22.6,9.1,36.5
2025-01-02 09:00:00Z,5.0,3.1,17.1,0.6,18.0
2025-01-02 10:00:00Z,7.4,1.8,35.2,17.6,61.7
2025-01-02 11:00:00Z,7.9,6.6,30.2,6.6,40.2
2025-01-02 12:00:00Z,6.0,4.1,29.1,11.4,46.4
2025-01-02 13:00:00Z,10.7,4.2,37.3,12.8,56.6
2025-01-02 14:00:00Z,1.9,7.1,24.1,5.1,31.2
2025-01-02 15:00:00Z,4.2,8.3,30.6,7.2,41.8
2025-01-02 16:00:00Z,6.5,8.0,29.8,2.3,33.4
2025-01-02 17:00:00Z,12.0,11.0,27.7,2.5,31.6
2025-01-02 18:00:00Z,9.9,10.6,23.9,5.0,31.4
2025-01-02 19:00:00Z,9.3,11.3,24.5,7.8,36.3
2025-01-02 20:00:00Z,9.4,9.0,25.9,3.5,31.1
2025-01-02 21:00:00Z,16.7,10.6,29.2,10.4,45.0
2025-01-02 22:00:00Z,13.1,10.1,24.4,5.5,32.9
2025-01-02 23:00:00Z,13.2,9.2,21.6,3.1,26.3
2025-01-03 00:00:00Z,15.2,8.5,28.0,5.7,37.0
2025-01-03 01:00:00Z,12.1,9.2,20.1,-0.3,19.6
2025-01-03 02:00:00Z,13.5,9.9,22.5,2.3,26.0
2025-01-03 03:00:00Z,10.2,9.1,29.7,11.9,47.8
2025-01-03 04:00:00Z,13.3,9.6,49.6,41.3,112.8
2025-01-03 05:00:00Z,19.1,13.0,59.4,99.9,212.2
2025-01-03 06:00:00Z,25.6,16.1,66.5,137.1,277.3
2025-01-03 07:00:00Z,18.1,20.8,62.0,105.3,223.0
2025-01-03 08:00:00Z,23.2,15.3,67.3,148.1,294.1
2025-01-03 09:00:00Z,30.2,22.1,81.9,246.9,460.4
2025-01-03 10:00:00Z,34.0,22.4,80.7,232.0,436.6
2025-01-03 11:00:00Z,36.0,22.7,62.1,133.8,267.0
2025-01-03 12:00:00Z,24.2,15.6,31.3,17.5,58.2
2025-01-03 13:00:00Z,6.4,4.6,12.9,3.7,18.5
2025-01-03 14:00:00Z,14.2,12.0,13.7,5.8,22.5
2025-01-03 15:00:00Z,9.2,7.3,16.9,11.2,34.1
2025-01-03 16:00:00Z,8.8,7.3,20.2,5.9,29.4
2025-01-03 17:00:00Z,13.0,8.8,31.1,13.2,51.3
2025-01-03 18:00:00Z,16.8,8.7,32.9,14.8,55.6
2025-01-03 19:00:00Z,27.6,13.8,56.4,61.0,149.8
2025-01-03 20:00:00Z,44.5,18.4,77.4,167.5,334.5
2025-01-03 21:00:00Z,50.5,34.4,76.7,152.3,310.2
2025-01-03 22:00:00Z,54.8,43.8,81.8,188.7,371.0
2025-01-03 23:00:00Z,79.8,69.1,74.3,181.6,352.7
2025-01-04 00:00:00Z,76.7,68.6,68.5,172.8,333.5
2025-01-04 01:00:00Z,74.9,65.5,55.0,134.4,261.0
2025-01-04 02:00:00Z,59.7,50.9,46.6,99.9,199.7
2025-01-04 03:00:00Z,25.0,32.9,39.6,67.5,142.9
