,RN6:PM10,RN6:PM25,RN6:NO2,RN6:NO,RN6:NOX
,Route Nationale 6 - MELUN,Route Nationale 6 - MELUN,Route Nationale 6 - MELUN,Route Nationale 6 - MELUN,Route Nationale 6 - MELUN
,RN6,RN6,RN6,RN6,RN6
,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote
,PM10,PM25,NO2,NO,NOX
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2025-01-01 01:00:00Z,9.0,7.0,11.6,11.3,28.9
2025-01-01 02:00:00Z,7.5,3.7,14.0,14.7,36.7
2025-01-01 03:00:00Z,7.0,1.6,12.0,14.0,33.5
2025-01-01 04:00:00Z,6.3,8.1,8.4,8.9,22.0
2025-01-01 05:00:00Z,9.4,11.9,9.5,8.8,22.9
2025-01-01 06:00:00Z,7.9,10.0,8.7,8.6,21.8
2025-01-01 07:00:00Z,9.7,9.5,7.0,4.9,14.5
2025-01-01 08:00:00Z,11.5,9.6,6.9,3.7,12.6
2025-01-01 09:00:00Z,11.6,10.5,7.3,5.3,15.4
2025-01-01 10:00:00Z,9.2,8.1,7.3,6.2,16.8
2025-01-01 11:00:00Z,10.2,4.5,11.0,12.0,29.5
2025-01-01 12:00:00Z,9.5,5.3,14.9,17.3,41.3
2025-01-01 13:00:00Z,14.5,5.6,16.2,18.7,44.6
2025-01-01 14:00:00Z,9.9,7.4,16.4,19.3,45.9
2025-01-01 15:00:00Z,12.1,6.8,17.2,17.2,43.7
2025-01-01 16:00:00Z,10.4,9.9,19.9,21.9,53.4
2025-01-01 17:00:00Z,10.6,6.5,17.6,19.7,47.8
2025-01-01 18:00:00Z,14.0,4.7,18.9,19.3,48.6
2025-01-01 19:00:00Z,10.9,8.6,14.5,12.9,34.1
2025-01-01 20:00:00Z,8.3,7.3,12.5,13.5,33.3
2025-01-01 21:00:00Z,9.6,7.4,12.1,12.3,31.0
2025-01-01 22:00:00Z,12.7,8.2,11.9,11.0,28.8
2025-01-01 23:00:00Z,14.6,8.7,7.9,6.6,18.1
2025-01-02 00:00:00Z,10.4,8.2,5.8,6.3,15.4
2025-01-02 01:00:00Z,10.7,7.8,4.6,1.9,7.5
2025-01-02 02:00:00Z,10.3,7.4,3.4,1.1,5.2
2025-01-02 03:00:00Z,8.2,6.7,3.7,1.3,5.8
2025-01-02 04:00:00Z,7.6,4.7,6.6,5.6,15.2
2025-01-02 05:00:00Z,9.2,6.0,13.5,7.7,25.4
2025-01-02 06:00:00Z,6.8,9.1,36.4,44.9,105.2
2025-01-02 07:00:00Z,8.1,6.1,46.3,48.3,120.3
2025-01-02 08:00:00Z,6.8,3.9,50.1,57.7,138.5
2025-01-02 09:00:00Z,4.5,3.1,45.7,29.7,91.2
2025-01-02 10:00:00Z,6.5,6.2,46.9,33.7,98.6
2025-01-02 11:00:00Z,6.5,5.0,34.1,16.2,59.1
2025-01-02 12:00:00Z,10.1,13.9,48.2,46.0,118.6
2025-01-02 13:00:00Z,10.0,7.8,37.7,29.2,82.5
2025-01-02 14:00:00Z,8.7,6.4,35.4,48.2,109.3
2025-01-02 15:00:00Z,12.4,9.3,38.1,48.1,111.8
2025-01-02 16:00:00Z,9.6,10.6,39.9,44.0,107.3
2025-01-02 17:00:00Z,12.6,12.9,40.3,41.9,104.4
2025-01-02 18:00:00Z,15.0,11.9,40.9,39.7,101.8
2025-01-02 19:00:00Z,22.4,21.9,49.6,45.2,118.9
2025-01-02 20:00:00Z,27.4,23.7,54.7,55.2,139.2
2025-01-02 21:00:00Z,25.9,21.3,43.0,32.1,92.1
2025-01-02 22:00:00Z,18.3,22.4,38.5,25.2,77.2
2025-01-02 23:00:00Z,14.8,12.3,30.0,17.2,56.3
2025-01-03 00:00:00Z,17.0,12.3,33.5,14.7,55.9
2025-01-03 01:00:00Z,20.4,19.4,28.2,10.4,44.1
2025-01-03 02:00:00Z,22.0,17.0,28.2,8.0,40.5
2025-01-03 03:00:00Z,17.6,15.8,31.2,14.9,54.1
2025-01-03 04:00:00Z,5.3,13.1,23.2,15.4,46.7
2025-01-03 05:00:00Z,18.7,13.7,31.1,28.0,73.9
2025-01-03 06:00:00Z,19.3,17.9,35.0,53.8,117.4
2025-01-03 07:00:00Z,18.8,17.1,39.9,78.5,160.2
2025-01-03 08:00:00Z,18.9,19.2,38.1,88.2,173.3
2025-01-03 09:00:00Z,28.1,22.4,38.2,89.2,175.0
2025-01-03 10:00:00Z,26.3,21.9,40.1,89.8,177.6
2025-01-03 11:00:00Z,20.5,19.1,36.9,58.5,126.6
2025-01-03 12:00:00Z,26.3,14.5,29.3,44.2,97.2
2025-01-03 13:00:00Z,28.0,12.2,30.3,37.1,87.2
2025-01-03 14:00:00Z,38.9,8.5,35.0,38.9,94.7
2025-01-03 15:00:00Z,31.7,15.6,40.5,47.1,112.7
2025-01-03 16:00:00Z,31.6,10.6,54.9,70.9,163.5
2025-01-03 17:00:00Z,25.3,23.7,54.9,62.6,151.0
2025-01-03 18:00:00Z,37.0,24.6,55.0,143.4,274.9
2025-01-03 19:00:00Z,24.1,19.7,39.4,94.0,183.5
2025-01-03 20:00:00Z,9.0,19.3,33.1,56.6,119.8
2025-01-03 21:00:00Z,23.7,15.8,28.6,39.1,88.6
2025-01-03 22:00:00Z,14.7,12.5,23.6,32.6,73.5
2025-01-03 23:00:00Z,10.8,10.7,22.4,27.1,63.9
2025-01-04 00:00:00Z,12.2,13.6,18.8,14.8,41.7
2025-01-04 01:00:00Z,9.8,10.7,19.5,14.3,41.4
2025-01-04 02:00:00Z,15.9,16.2,16.1,8.2,28.6
2025-01-04 03:00:00Z,13.9,11.2,12.5,4.5,19.4
2025-01-04 04:00:00Z,13.3,8.9,12.8,7.2,23.9
2025-01-04 05:00:00Z,12.2,9.3,15.3,9.3,29.6
2025-01-04 06:00:00Z,9.3,8.9,19.6,19.4,49.4
2025-01-04 07:00:00Z,13.1,14.6,23.7,25.3,62.4
2025-01-04 08:00:00Z,15.7,15.9,26.8,44.8,95.5
2025-01-04 09:00:00Z,19.2,12.1,27.8,52.5,108.2
2025-01-04 10:00:00Z,17.0,16.3,31.7,58.5,121.4
2025-01-04 11:00:00Z,22.0,12.5,30.5,58.0,119.4
2025-01-04 12:00:00Z,26.0,10.1,26.1,37.3,83.3
2025-01-04 13:00:00Z,26.2,15.7,24.2,33.2,75.1
2025-01-04 14:00:00Z,23.6,8.5,25.4,33.6,76.9
2025-01-04 15:00:00Z,28.1,11.0,27.8,35.2,81.8
2025-01-04 16:00:00Z,32.9,13.4,28.7,36.1,84.1
2025-01-04 17:00:00Z,20.5,14.0,30.0,38.5,89.0
2025-01-04 18:00:00Z,17.6,11.9,34.8,53.7,117.2
2025-01-04 19:00:00Z,18.1,9.6,28.8,37.5,86.2
2025-01-04 20:00:00Z,14.3,16.3,28.2,35.3,82.3
2025-01-04 21:00:00Z,10.6,10.9,22.8,24.2,59.9
2025-01-04 22:00:00Z,13.0,9.4,21.3,23.2,56.9
2025-01-04 23:00:00Z,9.7,9.1,22.0,23.2,57.7
2025-01-05 00:00:00Z,5.5,6.8,14.7,15.3,38.2
2025-01-05 01:00:00Z,3.4,14.9,18.5,19.8,48.7
