,ELYS:PM10,ELYS:PM25,ELYS:NO2,ELYS:NO,ELYS:NOX
,Avenue des Champs Elysées,Avenue des Champs Elysées,Avenue des Champs Elysées,Avenue des Champs Elysées,Avenue des Champs Elysées
,ELYS,ELYS,ELYS,ELYS,ELYS
,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote
,PM10,PM25,NO2,NO,NOX
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2025-01-01 01:00:00Z,,9.0,,,
2025-01-01 02:00:00Z,,6.2,,,
2025-01-01 03:00:00Z,,3.9,10.4,5.4,18.8
2025-01-01 04:00:00Z,,5.9,11.6,6.1,21.1
2025-01-01 05:00:00Z,,6.0,9.9,4.4,16.6
2025-01-01 06:00:00Z,,5.8,10.6,4.0,16.8
2025-01-01 07:00:00Z,,4.1,11.0,1.5,13.5
2025-01-01 08:00:00Z,,9.8,10.7,3.3,15.6
2025-01-01 09:00:00Z,,8.1,9.3,7.9,21.3
2025-01-01 10:00:00Z,,6.8,9.5,4.3,16.0
2025-01-01 11:00:00Z,,7.2,13.6,13.0,33.6
2025-01-01 12:00:00Z,,9.7,15.5,10.3,31.2
2025-01-01 13:00:00Z,,9.6,13.6,14.1,35.3
2025-01-01 14:00:00Z,,8.1,14.8,9.3,29.1
2025-01-01 15:00:00Z,,7.4,15.9,11.8,34.1
2025-01-01 16:00:00Z,,5.4,15.5,11.3,32.9
2025-01-01 17:00:00Z,,4.2,16.9,12.8,36.6
2025-01-01 18:00:00Z,,5.8,18.0,12.8,37.7
2025-01-01 19:00:00Z,,7.7,15.9,9.5,30.5
2025-01-01 20:00:00Z,,11.5,19.1,10.2,34.7
2025-01-01 21:00:00Z,,6.7,12.4,10.6,28.6
2025-01-01 22:00:00Z,,10.2,11.6,6.3,21.1
2025-01-01 23:00:00Z,,9.4,9.4,4.8,16.8
2025-01-02 00:00:00Z,,8.0,6.8,3.0,11.5
2025-01-02 01:00:00Z,,7.8,6.2,2.0,9.3
2025-01-02 02:00:00Z,,10.0,8.9,2.6,12.9
2025-01-02 03:00:00Z,,6.6,11.3,1.1,13.0
2025-01-02 04:00:00Z,,4.4,13.9,1.4,16.1
2025-01-02 05:00:00Z,,5.7,12.8,0.9,14.1
2025-01-02 06:00:00Z,,4.3,23.0,5.3,31.1
2025-01-02 07:00:00Z,,3.5,33.4,10.7,49.8
2025-01-02 08:00:00Z,,3.9,31.2,9.3,45.5
2025-01-02 09:00:00Z,,6.5,33.6,13.5,54.3
2025-01-02 10:00:00Z,,5.9,31.1,12.3,50.0
2025-01-02 11:00:00Z,,5.5,37.2,18.8,65.9
2025-01-02 12:00:00Z,,6.6,33.3,15.5,57.1
2025-01-02 13:00:00Z,,7.5,40.4,18.2,68.2
2025-01-02 14:00:00Z,,5.8,39.3,24.5,76.7
2025-01-02 15:00:00Z,,8.9,34.7,13.9,56.0
2025-01-02 16:00:00Z,,9.8,35.9,14.7,58.4
2025-01-02 17:00:00Z,,10.9,31.0,8.1,43.2
2025-01-02 18:00:00Z,,12.2,29.0,10.8,45.4
2025-01-02 19:00:00Z,,13.2,34.8,10.9,51.6
2025-01-02 20:00:00Z,,14.1,39.1,12.2,57.7
2025-01-02 21:00:00Z,,20.6,34.5,10.2,49.1
2025-01-02 22:00:00Z,,10.1,29.5,8.2,42.1
2025-01-02 23:00:00Z,,12.6,32.3,9.3,46.5
2025-01-03 00:00:00Z,,11.8,31.3,10.3,47.2
2025-01-03 01:00:00Z,,10.2,28.7,9.1,42.7
2025-01-03 02:00:00Z,,8.1,30.1,10.7,46.4
2025-01-03 03:00:00Z,,7.1,26.3,6.7,37.1
2025-01-03 04:00:00Z,,14.1,31.2,8.2,43.6
2025-01-03 05:00:00Z,,9.1,43.1,20.0,74.0
2025-01-03 06:00:00Z,,13.7,42.5,22.5,76.6
2025-01-03 07:00:00Z,,11.0,56.7,47.0,128.6
2025-01-03 08:00:00Z,,13.3,52.6,45.5,122.2
2025-01-03 09:00:00Z,,11.8,55.9,59.1,147.2
2025-01-03 10:00:00Z,,10.4,44.0,32.0,93.2
2025-01-03 11:00:00Z,,12.7,39.2,28.6,82.9
2025-01-03 12:00:00Z,,14.4,42.0,33.5,93.4
2025-01-03 13:00:00Z,,15.0,33.5,17.9,61.0
2025-01-03 14:00:00Z,,8.5,29.5,16.0,54.1
2025-01-03 15:00:00Z,,7.5,29.5,18.4,57.8
2025-01-03 16:00:00Z,,9.1,30.7,12.4,49.7
2025-01-03 17:00:00Z,,10.4,41.0,21.2,73.6
2025-01-03 18:00:00Z,,8.7,37.6,17.1,63.7
2025-01-03 19:00:00Z,,13.2,59.8,40.8,122.4
2025-01-03 20:00:00Z,,17.2,80.2,89.2,217.0
2025-01-03 21:00:00Z,,25.6,74.6,102.2,231.3
2025-01-03 22:00:00Z,,32.6,79.1,167.4,335.8
2025-01-03 23:00:00Z,,25.5,77.5,167.2,333.8
2025-01-04 00:00:00Z,,38.7,69.5,116.0,247.2
2025-01-04 01:00:00Z,,37.4,60.5,65.4,160.8
2025-01-04 02:00:00Z,,50.1,59.3,107.8,224.7
2025-01-04 03:00:00Z,,50.0,45.7,81.7,170.9
2025-01-04 04:00:00Z,,33.8,41.0,46.9,113.1
2025-01-04 05:00:00Z,,21.3,44.0,32.6,94.0
2025-01-04 06:00:00Z,,21.4,44.6,31.0,92.3
2025-01-04 07:00:00Z,,14.9,46.5,22.1,80.4
2025-01-04 08:00:00Z,,11.7,47.6,17.8,74.9
2025-01-04 09:00:00Z,,10.6,37.2,15.4,60.8
2025-01-04 10:00:00Z,,19.9,33.9,15.7,57.9
2025-01-04 11:00:00Z,,15.5,27.1,15.1,50.4
