,VITRY:PM10,VITRY:PM25,VITRY:NO2,VITRY:SO2,VITRY:NO,VITRY:NOX,VITRY:O3
,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE
,VITRY,VITRY,VITRY,VITRY,VITRY,VITRY,VITRY
,PM 10 particules,"PM 2,5 particules",dioxyde d azote,dioxyde de soufre,monoxyde d azote,oxydes d azote,ozone
,PM10,PM25,NO2,SO2,NO,NOX,O3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2025-01-01 01:00:00Z,8.0,7.6,7.1,,0.4,7.8,42.2
2025-01-01 02:00:00Z,7.0,6.6,6.5,,0.3,7.1,43.0
2025-01-01 03:00:00Z,7.0,6.7,5.9,,0.2,6.3,40.9
2025-01-01 04:00:00Z,7.4,7.0,5.8,,0.2,6.2,41.4
2025-01-01 05:00:00Z,8.6,8.1,6.5,,0.3,6.9,41.1
2025-01-01 06:00:00Z,10.5,9.7,10.5,,0.4,11.0,39.3
2025-01-01 07:00:00Z,11.8,10.7,10.7,,0.4,11.3,40.7
2025-01-01 08:00:00Z,11.9,10.8,7.5,,0.3,7.8,45.6
2025-01-01 09:00:00Z,10.7,9.8,7.8,,0.5,8.4,46.2
2025-01-01 10:00:00Z,9.4,8.6,6.0,,0.5,6.9,50.0
2025-01-01 11:00:00Z,9.2,8.2,8.4,,0.7,9.6,47.9
2025-01-01 12:00:00Z,8.8,7.9,8.5,,0.7,9.6,49.5
2025-01-01 13:00:00Z,9.1,7.6,7.8,,0.7,8.8,51.2
2025-01-01 14:00:00Z,9.9,8.6,8.3,,0.8,9.7,50.6
2025-01-01 15:00:00Z,9.1,8.1,8.7,,0.7,9.6,50.5
2025-01-01 16:00:00Z,8.9,7.5,9.0,,0.6,9.8,50.8
2025-01-01 17:00:00Z,9.7,8.4,10.7,,0.6,11.7,47.9
2025-01-01 18:00:00Z,10.0,8.5,9.9,,0.7,11.0,47.4
2025-01-01 19:00:00Z,11.2,9.4,9.1,,0.6,10.2,47.1
2025-01-01 20:00:00Z,12.7,10.3,8.8,,0.5,9.6,46.4
2025-01-01 21:00:00Z,12.5,10.7,9.6,,0.5,10.4,45.3
2025-01-01 22:00:00Z,12.7,10.6,7.4,,0.4,8.0,48.1
2025-01-01 23:00:00Z,13.0,10.9,7.0,,0.4,7.7,49.8
2025-01-02 00:00:00Z,13.1,10.6,5.0,,0.2,5.5,51.6
2025-01-02 01:00:00Z,13.9,10.8,6.0,,0.2,6.3,50.8
2025-01-02 02:00:00Z,12.1,9.1,8.3,,0.1,8.6,52.2
