,time,PM10,PM25,NO2,NO,NOX
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2025-01-01 01:00:00Z,14.0,9.3,,,
2025-01-01 02:00:00Z,11.7,5.7,,,
2025-01-01 03:00:00Z,9.1,3.8,,,
2025-01-01 04:00:00Z,10.3,4.4,,,
2025-01-01 05:00:00Z,9.9,5.0,,,
2025-01-01 06:00:00Z,10.1,5.1,,,
2025-01-01 07:00:00Z,8.1,6.9,,,
2025-01-01 08:00:00Z,13.6,6.4,,,
2025-01-01 09:00:00Z,11.4,7.2,,,
2025-01-01 10:00:00Z,31.6,12.6,,,
2025-01-01 11:00:00Z,10.8,9.8,,,
2025-01-01 12:00:00Z,8.6,6.6,,,
2025-01-01 13:00:00Z,10.2,3.1,,,
2025-01-01 14:00:00Z,11.1,5.6,,,
2025-01-01 15:00:00Z,13.2,4.5,,,
2025-01-01 16:00:00Z,11.4,6.6,,,
2025-01-01 17:00:00Z,10.4,8.6,,,
2025-01-01 18:00:00Z,12.3,6.6,,,
2025-01-01 19:00:00Z,16.0,8.7,,,
2025-01-01 20:00:00Z,11.0,8.7,,,
2025-01-01 21:00:00Z,17.7,6.0,,,
2025-01-01 22:00:00Z,13.2,4.5,,,
2025-01-01 23:00:00Z,11.0,6.1,,,
2025-01-02 00:00:00Z,15.8,9.6,,,
2025-01-02 01:00:00Z,18.4,6.9,,,
2025-01-02 02:00:00Z,8.0,4.5,,,
2025-01-02 03:00:00Z,4.5,2.8,,,
2025-01-02 04:00:00Z,2.8,2.9,,,
2025-01-02 05:00:00Z,5.3,0.5,,,
2025-01-02 06:00:00Z,3.7,-1.0,,,
2025-01-02 07:00:00Z,3.6,0.3,,,
2025-01-02 08:00:00Z,5.4,0.9,,,
2025-01-02 09:00:00Z,9.0,1.7,,,
2025-01-02 10:00:00Z,7.9,3.2,,,
2025-01-02 11:00:00Z,5.8,4.1,,,
2025-01-02 12:00:00Z,12.0,8.7,,,
2025-01-02 13:00:00Z,10.0,7.1,,,
2025-01-02 14:00:00Z,10.0,5.9,,,
2025-01-02 15:00:00Z,11.5,6.0,38.3,15.4,61.9
2025-01-02 16:00:00Z,16.3,5.4,,,
2025-01-02 17:00:00Z,8.0,6.4,32.0,5.7,40.8
2025-01-02 18:00:00Z,9.9,11.5,33.4,7.9,45.4
2025-01-02 19:00:00Z,15.5,9.2,34.7,6.3,44.3
2025-01-02 20:00:00Z,15.5,15.4,37.2,6.3,46.8
2025-01-02 21:00:00Z,23.1,14.6,34.0,4.7,41.2
2025-01-02 22:00:00Z,11.0,10.4,27.6,3.9,33.6
2025-01-02 23:00:00Z,19.2,7.2,28.3,4.7,35.5
2025-01-03 00:00:00Z,16.6,9.0,28.5,3.6,34.0
2025-01-03 01:00:00Z,18.2,9.3,25.6,2.7,29.7
