Unnamed: 0,time,CO,PM10,PM25,NO2,NO,NOX,ville,O3
2025-01-01 01:00:00Z,,18.8,12.1,26.7,38.2,85.2,,Autoroute A1 - Saint-Denis,
2025-01-01 02:00:00Z,,23.9,13.8,23.9,31.4,71.9,,Autoroute A1 - Saint-Denis,
2025-01-01 03:00:00Z,,22.3,10.0,22.3,26.7,63.6,,Autoroute A1 - Saint-Denis,
2025-01-01 04:00:00Z,,17.5,10.4,19.3,26.7,60.2,,Autoroute A1 - Saint-Denis,
2025-01-01 05:00:00Z,,24.4,14.9,22.8,34.6,75.9,,Autoroute A1 - Saint-Denis,
2025-01-01 06:00:00Z,,14.6,13.0,34.7,26.7,75.6,,Autoroute A1 - Saint-Denis,
2025-01-01 07:00:00Z,,16.7,9.1,36.4,27.7,78.8,,Autoroute A1 - Saint-Denis,
2025-01-01 08:00:00Z,,17.6,10.6,24.3,21.4,57.1,,Autoroute A1 - Saint-Denis,
2025-01-01 09:00:00Z,,14.9,12.1,20.6,20.5,51.9,,Autoroute A1 - Saint-Denis,
2025-01-01 10:00:00Z,,17.0,10.8,28.0,27.1,69.4,,Autoroute A1 - Saint-Denis,
2025-01-01 11:00:00Z,,16.6,8.0,21.1,23.4,57.0,,Autoroute A1 - Saint-Denis,
2025-01-01 12:00:00Z,,19.9,8.4,21.3,23.5,57.4,,Autoroute A1 - Saint-Denis,
2025-01-01 13:00:00Z,,19.5,10.7,22.7,29.9,68.5,,Autoroute A1 - Saint-Denis,
2025-01-01 14:00:00Z,,19.6,9.9,25.3,34.6,78.3,,Autoroute A1 - Saint-Denis,
2025-01-01 15:00:00Z,,19.7,10.3,24.9,31.2,72.7,,Autoroute A1 - Saint-Denis,
2025-01-01 16:00:00Z,,18.6,11.6,24.3,29.1,68.8,,Autoroute A1 - Saint-Denis,
2025-01-01 17:00:00Z,,22.3,11.2,23.3,29.5,68.7,,Autoroute A1 - Saint-Denis,
2025-01-01 18:00:00Z,,22.4,10.7,23.6,27.1,65.0,,Autoroute A1 - Saint-Denis,
2025-01-01 19:00:00Z,,21.7,12.5,21.3,21.3,53.9,,Autoroute A1 - Saint-Denis,
2025-01-01 20:00:00Z,,22.9,12.5,21.8,23.5,57.7,,Autoroute A1 - Saint-Denis,
2025-01-01 21:00:00Z,,20.0,13.9,18.7,21.1,51.0,,Autoroute A1 - Saint-Denis,
2025-01-01 22:00:00Z,,21.2,14.9,15.8,16.5,41.1,,Autoroute A1 - Saint-Denis,
2025-01-01 23:00:00Z,,19.3,14.0,13.7,11.1,30.8,,Autoroute A1 - Saint-Denis,
2025-01-02 00:00:00Z,,16.4,10.1,10.8,10.2,26.5,,Autoroute A1 - Saint-Denis,
2025-01-02 01:00:00Z,,14.2,8.4,10.3,9.3,24.6,,Autoroute A1 - Saint-Denis,
2025-01-02 02:00:00Z,,8.9,8.9,15.4,14.2,36.8,,Autoroute A1 - Saint-Denis,
2025-01-02 03:00:00Z,,5.9,6.8,17.1,10.3,32.8,,Autoroute A1 - Saint-Denis,
2025-01-02 04:00:00Z,,8.8,4.9,24.7,14.2,46.4,,Autoroute A1 - Saint-Denis,
2025-01-02 05:00:00Z,,8.0,5.5,42.4,27.3,84.2,,Autoroute A1 - Saint-Denis,
2025-01-02 06:00:00Z,,11.0,13.0,60.8,56.6,147.6,,Autoroute A1 - Saint-Denis,
2025-01-02 07:00:00Z,,7.3,9.8,44.9,51.1,123.3,,Autoroute A1 - Saint-Denis,
2025-01-02 08:00:00Z,,6.7,8.5,41.8,44.3,109.6,,Autoroute A1 - Saint-Denis,
2025-01-02 09:00:00Z,,11.3,6.6,52.3,63.0,149.0,,Autoroute A1 - Saint-Denis,
2025-01-02 10:00:00Z,,25.0,20.5,70.8,110.1,239.5,,Autoroute A1 - Saint-Denis,
2025-01-02 11:00:00Z,,35.3,22.0,74.9,130.3,274.8,,Autoroute A1 - Saint-Denis,
2025-01-02 12:00:00Z,,14.5,14.7,68.4,121.2,254.1,,Autoroute A1 - Saint-Denis,
2025-01-02 13:00:00Z,,23.3,18.1,65.8,107.1,230.1,,Autoroute A1 - Saint-Denis,
2025-01-02 14:00:00Z,,26.8,15.4,64.1,103.2,222.3,,Autoroute A1 - Saint-Denis,
2025-01-02 15:00:00Z,,16.5,15.4,54.4,72.6,165.7,,Autoroute A1 - Saint-Denis,
2025-01-02 16:00:00Z,,16.5,12.5,50.2,61.4,144.5,,Autoroute A1 - Saint-Denis,
2025-01-02 17:00:00Z,,16.9,11.1,43.7,54.9,128.0,,Autoroute A1 - Saint-Denis,
2025-01-02 18:00:00Z,,18.2,14.4,47.7,76.8,165.5,,Autoroute A1 - Saint-Denis,
2025-01-02 19:00:00Z,,22.6,15.8,49.5,68.2,154.0,,Autoroute A1 - Saint-Denis,
2025-01-02 20:00:00Z,,26.5,19.5,48.7,82.0,174.4,,Autoroute A1 - Saint-Denis,
2025-01-02 21:00:00Z,,35.4,26.1,49.0,68.1,153.4,,Autoroute A1 - Saint-Denis,
2025-01-02 22:00:00Z,,28.4,23.3,44.9,60.8,138.0,,Autoroute A1 - Saint-Denis,
2025-01-02 23:00:00Z,,34.3,26.8,56.0,99.6,208.5,,Autoroute A1 - Saint-Denis,
2025-01-03 00:00:00Z,,26.4,18.9,49.6,83.9,178.1,,Autoroute A1 - Saint-Denis,
2025-01-03 01:00:00Z,,31.1,22.4,45.1,69.4,151.4,,Autoroute A1 - Saint-Denis,
2025-01-03 02:00:00Z,,27.6,22.8,44.3,61.7,138.8,,Autoroute A1 - Saint-Denis,
2025-01-03 03:00:00Z,,26.2,22.7,39.8,59.5,131.1,,Autoroute A1 - Saint-Denis,
2025-01-03 04:00:00Z,,29.6,20.7,41.9,70.5,150.0,,Autoroute A1 - Saint-Denis,
2025-01-03 05:00:00Z,,33.8,27.0,52.7,132.8,256.3,,Autoroute A1 - Saint-Denis,
2025-01-03 06:00:00Z,,33.3,24.4,56.7,148.1,283.7,,Autoroute A1 - Saint-Denis,
2025-01-03 07:00:00Z,,39.5,28.7,66.7,218.1,401.0,,Autoroute A1 - Saint-Denis,
2025-01-03 08:00:00Z,,37.6,28.3,58.2,188.3,346.9,,Autoroute A1 - Saint-Denis,
2025-01-03 09:00:00Z,,38.3,32.7,60.1,209.8,381.6,,Autoroute A1 - Saint-Denis,
2025-01-03 10:00:00Z,,39.4,29.7,58.4,185.3,342.6,,Autoroute A1 - Saint-Denis,
2025-01-03 11:00:00Z,,38.7,31.6,63.1,166.7,318.7,,Autoroute A1 - Saint-Denis,
2025-01-03 12:00:00Z,,41.9,27.0,69.3,166.4,324.5,,Autoroute A1 - Saint-Denis,
2025-01-03 13:00:00Z,,45.8,22.2,60.4,106.4,223.6,,Autoroute A1 - Saint-Denis,
2025-01-03 14:00:00Z,,49.2,45.5,56.8,85.3,187.6,,Autoroute A1 - Saint-Denis,
2025-01-03 15:00:00Z,,57.4,16.6,55.7,83.4,183.6,,Autoroute A1 - Saint-Denis,
2025-01-03 16:00:00Z,,37.4,12.9,60.0,91.1,199.8,,Autoroute A1 - Saint-Denis,
2025-01-03 17:00:00Z,,35.0,17.8,76.1,96.6,224.2,,Autoroute A1 - Saint-Denis,
2025-01-03 18:00:00Z,,31.0,18.2,77.0,83.6,205.1,,Autoroute A1 - Saint-Denis,
2025-01-03 19:00:00Z,,39.6,21.1,86.8,145.6,310.0,,Autoroute A1 - Saint-Denis,
2025-01-03 20:00:00Z,,48.2,33.3,87.1,199.1,392.3,,Autoroute A1 - Saint-Denis,
2025-01-03 21:00:00Z,,54.1,46.0,88.9,230.5,442.3,,Autoroute A1 - Saint-Denis,
2025-01-03 22:00:00Z,,76.6,67.5,82.8,261.1,483.2,,Autoroute A1 - Saint-Denis,
2025-01-03 23:00:00Z,,96.0,85.9,80.9,247.0,459.7,,Autoroute A1 - Saint-Denis,
2025-01-04 00:00:00Z,,101.5,80.3,77.7,314.3,559.7,,Autoroute A1 - Saint-Denis,
2025-01-04 01:00:00Z,,100.5,87.1,82.6,361.8,637.2,,Autoroute A1 - Saint-Denis,
2025-01-04 02:00:00Z,,93.4,78.4,87.7,337.0,604.4,,Autoroute A1 - Saint-Denis,
