CO,PM10,PM25,NO2,NO,NOX,ville,annee,mois,jour,heure,AQI,temperature,vent,pluie,humidite
18.8,12.1,26.7,38.2,85.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,1.0,,3,1,3,3
23.9,13.8,23.9,31.4,71.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,2.0,,4,2,1,4
22.3,10.0,22.3,26.7,63.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,3.0,,1,1,2,1
17.5,10.4,19.3,26.7,60.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,4.0,,3,1,3,4
24.4,14.9,22.8,34.6,75.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,5.0,,3,3,3,1
14.6,13.0,34.7,26.7,75.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,6.0,,4,2,3,2
16.7,9.1,36.4,27.7,78.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,7.0,,1,4,2,3
17.6,10.6,24.3,21.4,57.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,8.0,,1,2,3,1
14.9,12.1,20.6,20.5,51.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,9.0,,3,2,3,3
17.0,10.8,28.0,27.1,69.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,10.0,,2,4,2,2
16.6,8.0,21.1,23.4,57.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,11.0,,3,1,1,2
19.9,8.4,21.3,23.5,57.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,12.0,,3,3,3,3
19.5,10.7,22.7,29.9,68.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,13.0,,3,1,2,1
19.6,9.9,25.3,34.6,78.3,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,14.0,,3,1,1,1
19.7,10.3,24.9,31.2,72.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,15.0,,4,4,3,1
18.6,11.6,24.3,29.1,68.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,16.0,,1,4,2,4
22.3,11.2,23.3,29.5,68.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,17.0,,4,1,4,4
22.4,10.7,23.6,27.1,65.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,18.0,,4,2,2,3
21.7,12.5,21.3,21.3,53.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,19.0,,4,3,3,3
22.9,12.5,21.8,23.5,57.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,20.0,,3,2,1,1
20.0,13.9,18.7,21.1,51.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,21.0,,2,1,1,2
21.2,14.9,15.8,16.5,41.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,22.0,,1,1,1,4
19.3,14.0,13.7,11.1,30.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,1.0,23.0,,2,3,3,2
16.4,10.1,10.8,10.2,26.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,0.0,,4,2,3,1
14.2,8.4,10.3,9.3,24.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,1.0,,4,1,1,3
8.9,8.9,15.4,14.2,36.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,2.0,95.0,2,1,1,1
5.9,6.8,17.1,10.3,32.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,3.0,65.0,2,4,1,2
8.8,4.9,24.7,14.2,46.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,4.0,94.0,2,3,1,2
8.0,5.5,42.4,27.3,84.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,5.0,117.98994974874373,4,4,2,4
11.0,13.0,60.8,56.6,147.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,6.0,153.73656480505795,4,4,3,4
7.3,9.8,44.9,51.1,123.3,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,7.0,124.14572864321607,1,4,4,4
6.7,8.5,41.8,44.3,109.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,8.0,116.51256281407036,1,1,1,4
11.3,6.6,52.3,63.0,149.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,9.0,142.36683417085428,4,2,2,2
25.0,20.5,70.8,110.1,239.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,10.0,,2,4,4,4
35.3,22.0,74.9,130.3,274.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,11.0,,2,2,4,1
14.5,14.7,68.4,121.2,254.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,12.0,,1,1,1,1
23.3,18.1,65.8,107.1,230.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,13.0,,4,4,1,2
26.8,15.4,64.1,103.2,222.3,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,14.0,,1,1,2,2
16.5,15.4,54.4,72.6,165.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,15.0,,1,4,1,2
16.5,12.5,50.2,61.4,144.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,16.0,,3,4,4,2
16.9,11.1,43.7,54.9,128.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,17.0,,3,1,1,3
18.2,14.4,47.7,76.8,165.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,18.0,,3,3,2,1
22.6,15.8,49.5,68.2,154.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,19.0,,2,3,2,3
26.5,19.5,48.7,82.0,174.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,20.0,,4,2,2,2
35.4,26.1,49.0,68.1,153.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,21.0,,4,2,2,2
28.4,23.3,44.9,60.8,138.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,22.0,,4,1,2,4
34.3,26.8,56.0,99.6,208.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,2.0,23.0,,4,1,1,3
26.4,18.9,49.6,83.9,178.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,0.0,,3,1,3,3
31.1,22.4,45.1,69.4,151.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,1.0,,2,3,2,3
27.6,22.8,44.3,61.7,138.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,2.0,,2,3,3,4
26.2,22.7,39.8,59.5,131.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,3.0,,3,4,1,2
29.6,20.7,41.9,70.5,150.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,4.0,,2,4,2,1
33.8,27.0,52.7,132.8,256.3,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,5.0,,3,1,3,1
33.3,24.4,56.7,148.1,283.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,6.0,,4,1,3,3
39.5,28.7,66.7,218.1,401.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,7.0,,3,2,4,4
37.6,28.3,58.2,188.3,346.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,8.0,,4,3,3,4
38.3,32.7,60.1,209.8,381.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,9.0,,4,1,4,3
39.4,29.7,58.4,185.3,342.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,10.0,,1,3,4,3
38.7,31.6,63.1,166.7,318.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,11.0,,3,1,3,2
41.9,27.0,69.3,166.4,324.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,12.0,,1,4,4,3
45.8,22.2,60.4,106.4,223.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,13.0,,3,1,3,2
49.2,45.5,56.8,85.3,187.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,14.0,,3,4,4,4
57.4,16.6,55.7,83.4,183.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,15.0,,1,2,2,1
37.4,12.9,60.0,91.1,199.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,16.0,,1,2,2,2
35.0,17.8,76.1,96.6,224.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,17.0,,3,2,2,3
31.0,18.2,77.0,83.6,205.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,18.0,,2,1,3,2
39.6,21.1,86.8,145.6,310.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,19.0,,4,2,3,4
48.2,33.3,87.1,199.1,392.3,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,20.0,,1,1,1,4
54.1,46.0,88.9,230.5,442.3,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,21.0,,4,3,3,2
76.6,67.5,82.8,261.1,483.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,22.0,,2,4,1,2
96.0,85.9,80.9,247.0,459.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,3.0,23.0,,2,3,1,2
101.5,80.3,77.7,314.3,559.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,0.0,,2,1,2,2
100.5,87.1,82.6,361.8,637.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,1.0,,1,2,3,4
93.4,78.4,87.7,337.0,604.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,2.0,,2,4,3,4
80.4,67.8,70.3,237.2,433.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,3.0,,1,2,1,2
71.2,64.7,58.7,183.2,339.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,4.0,,2,3,1,1
52.1,54.1,51.7,136.7,261.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,5.0,,4,1,3,4
43.9,37.1,54.4,122.0,241.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,6.0,,4,4,1,4
38.2,37.3,54.6,132.7,258.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,7.0,,3,4,3,1
35.6,30.7,55.3,131.3,256.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,8.0,,4,1,3,1
41.4,29.7,57.9,140.6,273.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,9.0,,3,1,4,3
30.9,24.2,53.5,84.7,183.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,10.0,,4,4,1,1
34.6,20.5,46.3,49.7,122.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,11.0,,1,3,2,3
45.7,16.9,43.0,41.4,106.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,12.0,,4,3,3,1
32.9,15.5,37.4,29.1,82.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,13.0,,3,2,1,2
30.1,11.1,40.7,28.2,83.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,14.0,,3,4,1,2
27.3,17.4,41.3,26.7,82.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,15.0,,2,1,1,1
22.0,10.9,42.4,24.1,79.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,16.0,,1,1,3,1
21.5,10.1,42.2,25.4,81.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,17.0,,4,1,3,3
22.4,17.3,43.7,29.9,89.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,18.0,,2,1,3,3
31.0,16.7,45.1,28.1,88.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,19.0,,4,4,1,3
31.3,19.4,48.4,32.9,98.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,20.0,,4,3,2,4
23.8,17.9,39.7,23.5,75.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,21.0,,2,2,4,2
20.3,12.8,37.2,23.2,72.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,22.0,,2,3,2,1
19.9,16.1,37.3,27.7,79.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,4.0,23.0,,2,2,3,3
16.4,11.7,36.2,27.2,77.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,0.0,,2,1,3,1
16.5,16.4,43.2,36.5,99.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,1.0,,2,1,3,1
18.2,14.1,44.7,31.3,92.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,2.0,,4,4,2,4
